County,Total,DTAP,NONe,ANTI,Natural,GEOID
,,,,,,27181
,,,,,,27183
,,,,,,27185
,,,,,,27187
,,,,,,27189
,,,,,,27191
,,,,,,27193
,,,,,,27195
,,,,,,27197
,,,,,,27199
